scenario,threshold,accuracy,precision,recall,f1_score,false_positive_rate
none,0.1,0.0,0.0,0.0,0.0,1.0
none,0.2,0.8266666666666667,0.0,0.0,0.0,0.17333333333333334
none,0.3,0.945,0.0,0.0,0.0,0.055
none,0.4,0.945,0.0,0.0,0.0,0.055
none,0.5,0.945,0.0,0.0,0.0,0.055
none,0.6,0.945,0.0,0.0,0.0,0.055
none,0.7,0.945,0.0,0.0,0.0,0.055
none,0.8,1.0,0.0,0.0,0.0,0.0
none,0.9,1.0,0.0,0.0,0.0,0.0
progressive,0.1,0.6,0.6,1.0,0.75,1.0
progressive,0.2,0.815,0.8878504672897196,0.7916666666666666,0.8370044052863436,0.15
progressive,0.3,0.8233333333333334,0.9471830985915493,0.7472222222222222,0.8354037267080745,0.0625
progressive,0.4,0.8233333333333334,0.9471830985915493,0.7472222222222222,0.8354037267080745,0.0625
progressive,0.5,0.8233333333333334,0.9471830985915493,0.7472222222222222,0.8354037267080745,0.0625
progressive,0.6,0.8233333333333334,0.9471830985915493,0.7472222222222222,0.8354037267080745,0.0625
progressive,0.7,0.8233333333333334,0.9471830985915493,0.7472222222222222,0.8354037267080745,0.0625
progressive,0.8,0.4,0.0,0.0,0.0,0.0
progressive,0.9,0.4,0.0,0.0,0.0,0.0
brutal,0.1,0.5,0.5,1.0,0.6666666666666666,1.0
brutal,0.2,0.8383333333333334,0.8142414860681114,0.8766666666666667,0.8443017656500803,0.2
brutal,0.3,0.8866666666666667,0.9202898550724637,0.8466666666666667,0.8819444444444444,0.07333333333333333
brutal,0.4,0.8866666666666667,0.9202898550724637,0.8466666666666667,0.8819444444444444,0.07333333333333333
brutal,0.5,0.8866666666666667,0.9202898550724637,0.8466666666666667,0.8819444444444444,0.07333333333333333
brutal,0.6,0.8866666666666667,0.9202898550724637,0.8466666666666667,0.8819444444444444,0.07333333333333333
brutal,0.7,0.8866666666666667,0.9202898550724637,0.8466666666666667,0.8819444444444444,0.07333333333333333
brutal,0.8,0.5,0.0,0.0,0.0,0.0
brutal,0.9,0.5,0.0,0.0,0.0,0.0
intermittent,0.1,0.35,0.35,1.0,0.5185185185185185,1.0
intermittent,0.2,0.7216666666666667,0.5781818181818181,0.7571428571428571,0.6556701030927835,0.29743589743589743
intermittent,0.3,0.7716666666666666,0.6697674418604651,0.6857142857142857,0.6776470588235294,0.18205128205128204
intermittent,0.4,0.7716666666666666,0.6697674418604651,0.6857142857142857,0.6776470588235294,0.18205128205128204
intermittent,0.5,0.7716666666666666,0.6697674418604651,0.6857142857142857,0.6776470588235294,0.18205128205128204
intermittent,0.6,0.7716666666666666,0.6697674418604651,0.6857142857142857,0.6776470588235294,0.18205128205128204
intermittent,0.7,0.7716666666666666,0.6697674418604651,0.6857142857142857,0.6776470588235294,0.18205128205128204
intermittent,0.8,0.65,0.0,0.0,0.0,0.0
intermittent,0.9,0.65,0.0,0.0,0.0,0.0
