seed,scenario,accuracy,precision,recall,f1_score,false_positive_rate,mean_inference_time_sec
42,progressive,0.8066666666666666,0.9295774647887324,0.7333333333333333,0.8198757763975155,0.08333333333333333,0.0003252777133335864
42,brutal,0.86,0.8913043478260869,0.82,0.8541666666666666,0.1,0.0003063324449999527
42,intermittent,0.74,0.6363636363636364,0.6,0.6176470588235294,0.18461538461538463,0.00040809482999975443
43,progressive,0.8,0.8973509933774835,0.7527777777777778,0.8187311178247734,0.12916666666666668,0.0003170877149993127
43,brutal,0.8566666666666667,0.9022556390977443,0.8,0.8480565371024735,0.08666666666666667,0.00031672842333364316
43,intermittent,0.7,0.5721153846153846,0.5666666666666667,0.569377990430622,0.2282051282051282,0.0003277023499996782
44,progressive,0.8033333333333333,0.9230769230769231,0.7333333333333333,0.8173374613003096,0.09166666666666666,0.00041657410499965406
44,brutal,0.8566666666666667,0.8876811594202898,0.8166666666666667,0.8506944444444444,0.10333333333333333,0.00033001967666677955
44,intermittent,0.7216666666666667,0.5981735159817352,0.6238095238095238,0.6107226107226107,0.22564102564102564,0.00031579368166679466
45,progressive,0.7966666666666666,0.9103448275862069,0.7333333333333333,0.8123076923076923,0.10833333333333334,0.00034344866166672244
45,brutal,0.8533333333333334,0.8812949640287769,0.8166666666666667,0.8477508650519031,0.11,0.00032562747833405107
45,intermittent,0.725,0.6018099547511312,0.6333333333333333,0.617169373549884,0.22564102564102564,0.0003303611516662386
46,progressive,0.8,0.9,0.75,0.8181818181818182,0.125,0.00031621819499984364
46,brutal,0.8633333333333333,0.8920863309352518,0.8266666666666667,0.8581314878892734,0.1,0.0003115002849995108
46,intermittent,0.7216666666666667,0.5981735159817352,0.6238095238095238,0.6107226107226107,0.22564102564102564,0.0003138485250004427
